Name,Address1,Address2,phone
Mooroopna Education and Activity Centre Inc,23 Alexandra Street,MOOROOPNA VIC 3629,(03) 5825 1774
Mordialloc Neighbourhood House Inc,457 Main Street,MORDIALLOC VIC 3195,(03) 9587 4534
Advance MPYE,43 Mitchell St ,MORNINGTON VIC 3931,(03) 5986 4623
Mornington Community Contact Inc,9-11 Albert Street,MORNINGTON VIC 3931,(03) 5975 4772
Berry Street Victoria,37 Elgin Street,MORWELL VIC 3840,(03) 5134 5971
BNYM Aboriginal Corporation,41 Tarwin Street,MORWELL VIC 3840,(03) 5133 0325
Community College Gippsland,58-60 Commercial Road,MORWELL VIC 3840,(03) 5175 0866
Cooinda Hill,256 Commercial Road,MORWELL VIC 3840,(03) 5133 0608
Morwell Neighbourhood House and Learning Centre Inc,48-50 Beattie Crescent,MORWELL VIC 3840,(03) 5134 5488
McCullough Institute,Tennis Court Avenue,MOUNT BEAUTY VIC 3699,(03) 5754 1166
Mount Eliza Village Neighbourhood Centre Inc,90–100 Canadian Bay Road,MOUNT ELIZA VIC 3930,(03) 9787 8160
Knoxbrooke Inc,136 York Road,MOUNT EVELYN VIC 3796,(03) 9737 0400
Upper Yarra Community House (Mt Evelyn),Old Hereford Rd,MOUNT EVELYN VIC 3796,(03) 9736 1457
Mount Martha Community Learning Centre,Cnr Dominion Road &amp; Esplanade,MOUNT MARTHA VIC 3934,(03) 5974 2092
Waverley Community Learning Centre,5 Fleet Street,MOUNT WAVERLEY VIC 3149,(03) 9807 6011
King Valley Learning Exchange,2533 Wangaratta-Whitfield Rd,MOYHU VIC 3672,(03) 5727 9548
Mulgrave Neighbourhood House Inc,36-42 Mackie Road,MULGRAVE VIC 3170,(03) 9548 3311
Myrtleford Neighbourhood Centre,156 Myrtle St ,MYRTLEFORD VIC 3736,(03) 5752 2775
Narre Community Learning Centre Inc,1 Malcolm Court,NARRE WARREN VIC 3805,(03) 9704 7388
Nathalia District Community Association Inc,44 Blake Street,NATHALIA VIC 3638,(03) 5866 2449
Newport Community Education Centre ,43 Mason Street,NEWPORT VIC 3015,(03) 9391 8504
Nhill Neighbourhood House Learning Centre Inc,80 MacPherson Street,NHILL VIC 3418,(03) 5391 2196
AMES,60 Douglas Street,NOBLE PARK VIC 3174,(03) 8558 8800
Jan Wilson Community Centre,Lot 1 Halton Road,NOBLE PARK NORTH VIC 3174,(03) 9795 9279
Noble Park Community Centre,Ross Reserve, Memorial Drive,NOBLE PARK VIC 3174,(03) 9547 5801
Yooralla,1 Mons Parade,NOBLE PARK VIC 3174,(03) 9916 5842
Australian Romanian Community Welfare,55 Melrose Street,NORTH MELBOURNE VIC 3051,(03) 9348 9066
North Melbourne Language and Learning Inc,Ground floor, 33 Alfred Street,NORTH MELBOURNE VIC 3051,(03) 9326 7447
The Centre Connecting Community in North and West Melbourne Inc,58 Errol Street,NORTH MELBOURNE VIC 3051,(03) 9328 1126
Arts Project Australia,24 High Street,NORTHCOTE VIC 3070,(03) 9482 4484
Brite Institute (Victorian Vocational Rehabilitation Association),463 High Street,NORTHCOTE VIC 3070,(03) 9481 6422
Jika Jika Community Centre Inc,Cnr Plant &amp; Union Streets,NORTHCOTE VIC 3070,(03) 9482 5100
National Workplace Training,1st Floor, 18 Business Park Drive,NOTTING HILL VIC 3168,(03) 9548 8814
Numurkah Community Learning Centre Inc,43 Melville Street,NUMURKAH VIC 3636,(03) 5862 2249
AMES,1A Palmerston Grove,OAKLEIGH VIC 3166,(03) 9563 4777
Ocean Grove Neighbourhood Centre Inc,91 The Parade,OCEAN GROVE VIC 3226,(03) 5255 4294
Orbost Telecentre Inc,21 Ruskin Street,ORBOST VIC 3888,(03) 5154 1788
Glen Eira Adult Learning Centre Inc,419 North Road,ORMOND VIC 3204,(03) 9578 8996
Community College Gippsland,45B Main Street,PAKENHAM VIC 3810,(03) 5940 8152
Living Learning Pakenham,6B Henry Street,PAKENHAM VIC 3810,(03) 5941 2389
Outlook Inc,24 Toomuc Valley Road,PAKENHAM VIC 3810,(03) 5941 1535
OzChild,126 Princes Hwy,PAKENHAM VIC 3810,(03) 9695 2200
Living &amp; Learning Nillumbik (Panton Hill),18 Bishops Road,PANTON HILL VIC 3759,(03) 9433 3799
Park Orchards Community House &amp; Learning Centre,572 Park Road,PARK ORCHARDS VIC 3114,(03) 9876 4381
Park Orchards Community House &amp; Learning Centre,Domeney Recreation Centre 52 Knees Rd,PARK ORCHARDS VIC 3114,(03) 9876 4381
Sussex Neighbourhood House Inc,235 Sussex St,PASCOE VALE VIC 3044,(03) 9354 2210
Yooralla,2–10 Prospect Street,PASCOE VALE VIC 3044,(03) 9354 1012
Paynesville Neighbourhood Centre Inc,55 The Esplanade,PAYNESVILLE VIC 3880,(03) 5156 0214
Port Fairy Community Group Inc,Railway Place,PORT FAIRY VIC 3284,(03) 5568 2681
Port Melbourne Neighbourhood Centre,Cnr Liardet &amp; Nott Streets,PORT MELBOURNE VIC 3207,(03) 9645 1476
Portland WorkSkills,Shop 14, Pioneer Plaza,PORTLAND VIC 3305,(03) 5523 1645
Prahran Community Learning Centre Inc,40 Grattan Street,PRAHRAN VIC 3181,(03) 9510 7052
Prahran Mission,211 Chapel Street,PRAHRAN VIC 3181,(03) 9510 9627
The New Hope Foundation Inc,40 Grattan Street,PRAHRAN VIC 3181,(03) 9510 5877
Preston Neighbourhood House Inc,218 High Street,PRESTON VIC 3072,(03) 9484 5806
Queenscliffe and District Neighbourhood House Inc,3 Tobin Drive,QUEENSCLIFFE VIC 3225,(03) 5258 3367
Rainbow Learning Group and Neighbourhood House Inc,9 Eddy Street,RAINBOW VIC 3424,(03) 5395 1428
Red Cliffs Community Resource Centre ,23 Indi Ave ,RED CLIFFS VIC 3496,(03) 5024 3455
Preston Reservoir Adult Community Education Inc,Merrilands Community Centre, Cnr Asquith &amp; Sturdee Sts,RESERVOIR VIC 3073,(03) 9462 6077
Acacia Indochinese Community Support Association Inc,13 Belgium Avenue,RICHMOND VIC 3121,(03) 9429 8890
Australian Vietnamese Women&#039;s Association,30 Lennox Street,RICHMOND VIC 3121,(03) 9428 9078
Belgium Avenue Neighbourhood House Inc,9 Belgium Avenue,RICHMOND VIC 3121,(03) 9428 1676
Carringbush Adult Education Inc,415 Church Street,RICHMOND VIC 3121,(03) 9421 2392
Finbar Neighbourhood House Inc,143 Kent St,RICHMOND VIC 3121,(03) 9428 7668
FKA Children&#039;s Services ,9–11 Stewart Street,RICHMOND VIC 3121,(03) 9428 4471
Richmond Community Learning Centre Inc,92–94 Lord Street,RICHMOND VIC 3121,(03) 9428 9901
Central Ringwood Community Centre Inc,Bedford Park, Bedford Road,RINGWOOD VIC 3134,(03) 9870 2602
North Ringwood Community House,120 Oban Road,RINGWOOD NORTH VIC 3134,(03) 9876 3421
Robinvale Network House Inc,1 Maples Lane,ROBINVALE VIC 3549,(03) 5026 4128
Advance,1/16 Henry Wilson Dr,ROSEBUD VIC 3939,(03) 5986 4623
Peninsula Adult Education and Literacy Inc,15 Mitchell Street,ROSEBUD VIC 3939,(03) 5986 8177
SkillsPlus Ltd.,13 Ninth Avenue,ROSEBUD VIC 3939,(03) 5982 0300
Rosedale Neighbourhood House,2–8 Cansick Street,ROSEDALE VIC 3847,(03) 5199 2595
Rowville Neighbourhood Learning Centre Inc,40 Fulham Road,ROWVILLE VIC 3178,(03) 9764 1166
The Homestead Community and Learning Centre,30 Whiltshire Drive,ROXBURGH PARK VIC 3064,(03) 9205 2760
Rushworth Community House Inc,67 High Street,RUSHWORTH VIC 3612,(03) 5856 1295
Rye Beach Community Centre,27 Nelson Street,RYE VIC 3941,(03) 5985 4462
Community College Gippsland,55 Raymond Street,SALE VIC 3850,(03) 5144 1666
Sale Neighbourhood House Inc,19-21 Leslie Street,SALE VIC 3850,(03) 5144 5747
Sandybeach Centre,2 Sims Street,SANDRINGHAM VIC 3191,(03) 9598 2155
Belvedere Community Centre Inc,36 Belvedere Road,SEAFORD VIC 3198,(03) 9776 8922
Selby Community House Inc,Minak Reserve, via Charles Street,SELBY VIC 3159,(03) 9754 2039
Seymour and District Community House ,47a Anglesey Street,SEYMOUR VIC 3660,(03) 5792 3152
North Shepparton Community and Learning Centre Inc,10–14 Parkside Drive,SHEPPARTON VIC 3630,(03) 5821 5770
Shepparton Access,227 Wyndham Street,SHEPPARTON VIC 3630,(03) 5831 6180
Shepparton ACE College Inc,130 Rowe Street,SHEPPARTON VIC 3630,(03) 5831 4029
South Shepparton Community Centre,11 Service Street,SHEPPARTON VIC 3630,(03) 5821 6172
Simpson and District Community Centre Inc,11 Jayarra Street,SIMPSON VIC 3266,(03) 5594 3448
Sorrento Community Centre,860-868 Melbourne Road,SORRENTO VIC 3943,(03) 5984 3360
Inner Melbourne Vet Cluster ,Level 1, 71 Palmerston Cres,SOUTH MELBOURNE VIC 3205,(03) 9686 2354
Melbourne City Mission,164-180 Kings Way,SOUTH MELBOURNE VIC 3205,(03) 8625 4444
St Kilda Youth Services Inc,62 Pickle Street,SOUTH MELBOURNE VIC 3205,(03) 9696 5340
Gateway Social Support Options ,43 Paxton Street,SPOTSWOOD VIC 3015,(03) 9399 3511
AMES,Cnr Boulton Street &amp; Springvale Road,SPRINGVALE VIC 3171,(03) 9546 0099
SkillsPlus Ltd,128-132 Springvale Rd,SPRINGVALE VIC 3171,(03) 9548 0066
Springvale Indo-Chinese Mutual Assistance Association ,11–13 Morwell Parade,SPRINGVALE VIC 3171,(03) 9547 6161
Springvale Learning and Activities Centre Inc,1 Osbourne Avenue,SPRINGVALE VIC 3171,(03) 9547 2647
Springvale Neighbourhood House Inc,1–3 Lightwood Road,SPRINGVALE VIC 3171,(03) 9574 6399
AMES,16 Victoria Square,ST ALBANS VIC 3021,(03) 9366 0433
Community West,Level 1, 358 Main Road West,ST ALBANS VIC 3201,(03) 8312 2000
Yooralla,1 Andrea Street,ST ALBANS VIC 3021,(03) 9310 8704
St Arnaud Community Resource Centre Inc,85 Napier Street,ST ARNAUD VIC 3478,(03) 5495 1997
St Arnaud Neighbourhood House Inc,34 Alma Street,ST ARNAUD VIC 3478,(03) 5495 3300
Ngwala Willumbong Co-operative,93 Wellington St,ST KILDA VIC 3182,(03) 9510 3233
Port Phillip Community Group - Alma Road Community House,200 Alma Road,ST KILDA EAST VIC 3183,(03) 9525 8746
Stawell Neighbourhood House Inc,42 Sloane Street,STAWELL VIC 3380,(03) 5358 3500
Duke Street Community House,27 Duke Street,SUNSHINE VIC 3020,(03) 9311 9973
YouthNow,Visy Cares Hub, 80B Harvester Road,SUNSHINE VIC 3020,(03) 8311 5800
Murray ACE Swan Hill Inc,429 Campbell Street,SWAN HILL VIC 3585,(03) 5032 3719
Tatura Community House Inc,12–16 Casey Street,TATURA VIC 3616,(03) 5824 1315
The Basin Community House Inc,1221 Mountain Highway,THE BASIN VIC 3154,(03) 9761 0209
SPAN Community House Inc,64 Clyde Street,THORNBURY VIC 3071,(03) 9480 1364
Thornbury Women&#039;s Neighbourhood House,131 Shaftesbury Parade,THORNBURY VIC 3071,(03) 9480 0466
Tongala Community Activities Centre,94 Mangan St,TONGALA VIC 3621,(03) 5859 1268
Tongala Education Centre Inc,Cnr Henderson &amp; Finlay Road,TONGALA VIC 3621,(03) 5859 1100
Community College Gippsland,Shop 2, 32 Church Street,TRARALGON VIC 3844,(03) 5175 0866
Traralgon Neighbourhood Learning House,11–13 Breed Street,TRARALGON VIC 3844,(03) 5174 6199
Coonara Community House,22 Willow Road,UPPER FERNTREE GULLY VIC 3156,(03) 9758 7081
SkillsPlus Ltd,Unit 1, 1174 Burwood Hwy,UPPER FERNTREE GULLY VIC 3156,(03) 8756 0200
Vermont South Community House,Karobran Drive,VERMONT SOUTH VIC 3133,(03) 9803 2335
Wallan and District Community Group Inc,42 Bentnick Street,WALLAN VIC 3756,(03) 5783 1450
Opendoor Neighbourhood House,61 Burke Street,WANGARATTA VIC 3677,(03) 5721 9175
Pangerang Community House,38 Ovens Street,WANGARATTA VIC 3677,(03) 5721 3813
The Centre for Continuing Education,Chisholm Street,WANGARATTA VIC 3677,(03) 5721 0200
Orana Neighbourhood House,62 Coleman Road,WANTIRNA SOUTH VIC 3152,(03) 9801 1895
Warracknabeal Neighbourhood Centre Inc,2 Cox Street,WARRACKNABEAL VIC 3393,(03) 5396 1360
Community College Gippsland,71 Korumburra-Warragul Road,WARRAGUL VIC 3820,(03) 5622 6000
Warragul Community House,138 Normanby Street,WARRAGUL VIC 3820,(03) 5623 6032
Community College Warrnambool,71 Hyland Street,WARRNAMBOOL VIC 3280,(03) 5562 6099
South West Training and Assessment,71 Hyland Street,WARRNAMBOOL VIC 3280,(03) 5560 5254
Wedderburn Community House,24 Wilson Street,WEDDERBURN VIC 3518,(03) 5494 3489
Wendouree Neighbourhood Centre,12-14 Violet Grove,WENDOUREE VIC 3355,(03) 5339 5069
AMES,Level 1, 75–79 Watton Street,WERRIBEE VIC 3030,(03) 8744 0011
Quantin Binnah Community Centre Inc,61 Thames Boulevard,WERRIBEE VIC 3030,(03) 9742 5040
Wyndham Community and Education Centre Inc,3 Princes Highway,WERRIBEE VIC 3030,(03) 9742 4013
Bellarine Living and Learning Centre,20 Worden Court,WHITTINGTON VIC 3219,(03) 5248 1926
Whittlesea Community House Inc,92A Church Street,WHITTLESEA VIC 3757,(03) 9716 3361
Williamstown Community and Education Centre Inc,14 Thompson Street,WILLIAMSTOWN VIC 3016,(03) 9397 7349
Winchelsea Community House,28 Hesse Street,WINCHELSEA VIC 3241,(03) 5267 2028
Albury Wodonga Community College Ltd,63 High Street,WODONGA VIC 3690,(02) 6043 8200
Birallee Park Neighbourhood House Inc,39 Emerald Avenue ,WODONGA VIC 3690,(02) 6059 2590
Felltimber Community Centre,Cnr Melrose Drive &amp; Felltimber Creek Road,WODONGA VIC 3690,(02) 6043 4550
Trudewind Road Neighbourhood House Inc.,44 Quirk Court,WODONGA VIC 3690,(02) 6024 3950
Bass Coast Adult Education Centre,239 White Road,WONTHAGGI VIC 3995,(03) 5672 3115
Community College Gippsland (Wonthaggi),237 White Road,WONTHAGGI VIC 3995,(03) 5672 2004
Woodend Neighbourhood Centre,47 Forest Street,WOODEND VIC 3442,(03) 5427 1845
Wycheproof Community Resource Centre,280 Broadway,WYCHEPROOF VIC 3527,(03) 5493 7455
Upper Yarra Community House Inc,2463 Warburton Highway,YARRA JUNCTION VIC 3797,(03) 5967 1776
Yarraville Community Centre,59 Francis Street,YARRAVILLE VIC 3013,03) 9687 1560 03) 9687 1166
YNH Services Inc,1 Hargrave Court,YARRAWONGA VIC 3730,(03) 5744 3911
Art Resource Collective,19–23 Main Street,YINNAR VIC 3869
